Referencia,Produto
LACOR 62983,PINÇA LUXE INOX 18/10 - 62983
LACOR 62984,PINÇA MULTIUSOS INOX 18/10 - 62984
LACOR 62985,PINÇA P/CUBOS DE AÇUCAR INOX - 62985
LACOR 62986,PINÇA MASSAS INOX 18/10 19CMS. - 62986
LACOR 63005,ABRE-LATAS DE MESA PRETO - 63005
LACOR 63010,SACA-ROLHAS AUTOMÁTICO PRETO - 63010
LACOR 63015,ABRE-LATAS DE MESA INOX - 63015
LACOR 63018,SACA-ROLHAS CON NAVALHA INOX 18/10 - 63018
LACOR 63022,BOQUILHA DE SERVIR INOX 18/10 + TAMPãO - 63022
LACOR 63031,SACA-ROLHAS ELÉCTRICO COM BASECARREGADOR - 63031
LACOR 63033,BOMBA MANUAL VÁCUO INOX 18/10 2 TAMPÔES - 63033
LACOR 63054,SACA-ROLHAS ELÉCT.C/BASECARREGA BLACOR K - 63054
LACOR 63302,PAPELEIRA DE MESA INOX 18/10 12X16CMS. - 63302
LACOR 63304,AÇUCAREIRO DE MESA ESFÉRICO D.14 CM 600 - 63304
LACOR 63309,PAPELEIRA COM PEDAL 3L PRETA - 63309
LACOR 63586,PORTA-TARTES MELAM.CLASICA BRANCO D.32X9 - 63586
LACOR 63613,SERTÁ BLINIS 12 CM - 63613
LACOR 63637,PAELHEIRA DE AÇO 36CM - 63637
LACOR 63828,WOK FERRUM D.28 CM - 63828
LACOR 63829,WOK FERRUM ANTI-ADERENTE D.28 CM - 63829
LACOR 64425,PINCEL DE SILICONE CABO INOX 25 P. - 64425
LACOR 64430,"PINCEL ARO INOX CABO POLIETILENO 4,4X3CM - 64430"
LACOR 64438,PINCEL DE SILICONE E INÓX - 24cm - REFª 64438
LACOR 65050,PINCEL ARO INOX CABO POLIPRO. 50X50CM - 65050
LACOR 66065Z,CAIXA 2/1 530X650X65 INOX - 66065Z
LACOR 66110Z,CAIXA 1/1 530X325X100 INOX - 66110Z
LACOR 66165R,BANDEJA PORCELANA 1/1 - 530X325X65 mm - REFª 66165 R
LACOR 66165Z,CAIXA 1/1 530X325X65 INOX - 66165Z
LACOR 66215Z,CAIXA 1/2 265X325X150 INOX - 66215Z
LACOR 66220Z,CAIXA 1/2 265X325X200 INOX - 66220Z
LACOR 66240Z,CAIXA 1/2 265X325X40 INOX - 66240Z
LACOR 66249,CARRO SERVIÇO 2 BANDEJAS DESMONTÁVEL 80X - 66249
LACOR 66265Z,CAIXA 1/2 265X325X65 INOX - 66265Z
LACOR 66312,CUBETA PERFURADA 1/3 - 176X325X100 mm - R 66312
LACOR 66317,CUBETA PERFURADA 1/3 - 176X325X150 mm - R 66317
LACOR 66349,CARRO SERVIÇO 3 BANDEJAS DESMONTÁVEL 80X - 66349
LACOR 66410Z,CAIXA 1/4 265X162X100 INOX - 66410Z
LACOR 66502,CAIXA 2/3 354X325X20 SEM ASA - 66502
LACOR 66550,CARRO PORTA-PRATOS COM RODAS 100 PRATOS - 66550
LACOR 66734,MOLDE INDIV. SILICONE PUDIN BAIXO 24 CM - 66734
LACOR 66737,MOLDE INDIV. SILICONE REDONDO D.24 CMS - 66737
LACOR 66753,MOLDE MACARONS DUPLO DIÂMETRO 39X29 CM - 66753
LACOR 66760,MOLDE SILICONE 60X40 CM BRIOCHETTE 79X35 - 66760
LACOR 66777,MOLDE QUADRADO DESMONTAVEL 21X21X7 CM - 66777
LACOR 66804,MINI MUFFIN 11 CAVIDADES - 66804
LACOR 66807,MOLDE CILINDRO 8 CAVIDADES - 66807
LACOR 66813,MOLDE CILINDRO GRANDE 8 CAVIDADES - 66813
LACOR 66819,MOLDE BRIOCHETTE 6 CAVIDADES - 66819
LACOR 66820,MOLDE SILICONA BRIOCHETTE 6 CAVIDADES - 66820
LACOR 66902,TAMPA GASTRONORM GN 1/2 JUNHO SILICONE - 66902
LACOR 66903P,TAMPA POLICARBONATO 1/3 - 66903P
LACOR 66904,TAMPA GASTRONORM GN 1/3 JUNHO SILICONE - 66904
LACOR 66904P,TAMPA POLYCARBONATO GN 1/4 - 66904P
LACOR 66905,TAMPA GASTRONORM GN 1/4 JUNHO SILICONE - 66905
LACOR 66909,DUPLO FUNDO PERFURADO 2/1 - 66909
LACOR 66909P,TAMPA POLICARBONATO 1/9 - 66909P
LACOR 66910Z,CAIXA 1/9 176X108X100 INOX - 66910Z
LACOR 66933,PLATO LLANO POLICARB. 22X3 CM CON TAPA - 66933
LACOR 66934,PLATO HONDO PC BPA-FREE 19X5 CM CON TAPA - 66934
LACOR 67000,DOSIFICADOR 2 LTS. - 67000
LACOR 67004,CORTA-PIZZA INOX 18/10 - 67004
LACOR 67006,RAPADOR LISO INOX 18/10 - 67006
LACOR 67010,JARRA DE MEDIDAS CÓNICA INOX 18/10 1LT. - 67010
LACOR 67013,CORREDOR INOX 110ML - 67013
LACOR 67044,RACIONADOR DE GELADO INOX 44MM - 67044
LACOR 67046,RACIONADOR DE GELADO INOX 46MM - 67046
LACOR 67048,RACIONADOR DE GELADO INOX 48MM - 67048
LACOR 67050,RACIONADOR DE GELADO INOX 50MM - 67050
LACOR 67070,RACIONADOR DE GELADO INOX 70MM - 67070
LACOR 67140,ROLO DE AMASAR 40 CMS INÓX 18/10 - 67140
LACOR 67156,ROLO INOX 18/10 L=560 MM - 67156
LACOR 67170,RACIONADOR GELADO INÓX OVAL - MOD. LUXE - R. 67170
LACOR 67427,ESPÁTULA DE SILICONE 26 CM. - 67427
LACOR 67604,CAIXA 2/4 530X165X40 SEM ASA - 67604
LACOR 67824,"MOLDE PIZZA ALUM. C/ORIFICIOS 24 CMS, - 67824"
LACOR 67828,"MOLDE PIZZA ALUM. C/ORIFICIOS 28 CMS, - 67828"
LACOR 68000,MOLDE 12 CAVIDADES MADALENAS - 68000
LACOR 68005,MOLDE OVO-SANDWICH REDONDO INOX INOX - 68005
LACOR 68006,MOLDE OVO-SANDWICH QUADRADA INOX - 68006
LACOR 68007,BANDEJA COM PINÇA PARA NOTAS 11X15.2CM - 68007
LACOR 68010,MOLDE 12 CAVIDADES ANTIADHERENTE - 68010
LACOR 68017,BANDEJA COM PINÇA PARA NOTAS 12X21.5CM - 68017
LACOR 68065,JOGO 6 CORTA-MASSAS VARIADOS - REFª 68065
LACOR 68068,JOGO DE 7 CORTA-MASSAS OVAIS ONDULADOS DE INÓX - R 68068
LACOR 68069,CAIXA 9 CORTA-MASSAS OVAIS REDONDOS INOX - 68069
LACOR 68070,CAIXA 9 CORTA-MASSAS OVAIS REDONDOS INOX - 68070
LACOR 68101,FORMA PARA SALGADOS INOX D. 10 CMS - 68101
LACOR 68141,ROLO DE POLIETILENO ANTI-ADERENTE 43 CM - 68141
LACOR 68213,ROLO DE PICAR MASSAS ALUMINIO 13 CMS - 68213
LACOR 68306,CORTA-OVOS - 68306
LACOR 68350,PENEIRA 35 D. 20 CM INOX 18/10 - 68350
LACOR 68402,BOTIJAS DE SIFÃO N2O (10 BOTIJAS) - 68402
LACOR 68403,BOTIJAS DE SIFÃO N2O (24 BOTIJAS) - 68403
LACOR 68406,MOLDE ARO REDONDO 6x4 CM.-18/10 - 68406
LACOR 68407,"MOLDE ARO REDONDO 7,5x4 CM.-18/10 - 68407"
LACOR 68422,MOLDE ARO REDONDO 22x4 CM.-18/10 - 68422
LACOR 68505,SIFÃO CREME ALUMÍNIO 1.0 LTS GREEN - 68505
LACOR 68516,"MOLDE ARO REDONDO 16x4,5 CM.-18/10 - 68516"
LACOR 68520,"MOLDE ARO REDONDO 20x4,5 CM.-18/10 - 68520"
LACOR 68524,"MOLDE ARO REDONDO 24x4,5 CM.-18/10 - 68524"
LACOR 68526,"MOLDE ARO REDONDO 26x4,5 CM.-18/10 - 68526"
LACOR 68601,GARRAFA DE SODA 1 LTS - 68601
LACOR 68614,MOLDE ARO REDONDO 14X6 CM.-18/10 - 68614
LACOR 68616,MOLDE ARO REDONDO 16X6 CM.-18/10 - 68616
LACOR 68620,ARO REDONDO VACHERIN d.20x6 CMS 18/10 - 68620
LACOR 68622,MOLDE ARO REDONDO 22X6 CM.-18/10 - 68622
LACOR 68626,ARO REDONDO VACHERIN 26x6 CM INOX 18/10 - 68626
LACOR 68714,MOLDE DESMONT.RED.ANTIADERENT.D.24x7 CM - 68714
LACOR 68724,MOLDE SAVARIN ALUM. ANTIADHERENTE 24 CM. - 68724
LACOR 68725,MOLDE CAKE CHAPA ADERENTE 25 CM - 68725
LACOR 68726,MOLDE CAKE INÓX 18% 24CM - 68726
LACOR 68821,FLANERO RIZADO ALUM. ANTIADHERENTE 22 CM - 68821
LACOR 68823,MOLDE RIZADO MOVIL ALUM. ANTIADH. 32 CM. - 68823
LACOR 68824,"MOLDE PIZZA ALUM. ANTIADHERENTE 24 CMS, - 68824"
LACOR 68832,"MOLDE PIZZA ALUM. ANTIADHERENTE 32 CMS, - 68832"
LACOR 68836,MOLDE PIZZA ALUMINIO D.36 CM - 68836
LACOR 68882,MOLDE RIZADO MOVIL ALUM. ANTIADH. 28 CM. - 68882
LACOR 68952,BOQUILHA FLOR 12 M.M. INOX 18/10 - 68952
LACOR 68965,MANGA PASTELARIA NYLON 65 CM - 68965
LACOR 68973,MANGA DE PASTELERIA 30 CM + 4 BOQUILHAS - 68973
LACOR 68984,QUEIMADORA A GÁS PROFESIONAL - 68984
LACOR 68988,QUEIMADORA A GÁS PARA PASTELARIA - 68988
LACOR 68992,SET 2 BOQUILHAS CINTA ESTRELA 4-8mm - 68992
LACOR 69002,AQUECEDOR ELÉCTRICO PARA CHAFING 700W - 69002
LACOR 69006,RECIPIENTE DE COMBUSTÍVEL - 69006
LACOR 69018,AQUECEDOR DE LÍQUIDOS - 69018
LACOR 69023,DISTRIBUIDOR DUPLO CEREIS COM BASE - 69023
LACOR 69028,AQUECEDOR DE LIQUIDOS COM PATAS CROMADAS - 69028
LACOR 69032,PLACOR A DE INDUÃO - 69032
LACOR 69036,BANHO-MARIA ELÉCTRICO GN 1/1 230 V - 69036
LACOR 69037,PANELA AQUECEDORA DE SOPA ELÉCTRI.10 LTS - 69037
LACOR 69038,PANELA AQUECEDORA SOPA ELÉCTRI.INOX 10Lt - 69038
LACOR 69042,100 SACOS DE VÁCUO 20X30 CMS - 69042
LACOR 69049,Maquina de Vacuo Maxi 130w
LACOR 69052,BOBINA MANGA PLÁSTICO 22+28 CM 5 mtr - 69052
LACOR 69054,25 SACOS DE VÁCUO 20X30 CMS - 69054
LACOR 69055,25 SACOS DE VÁCUO 24X36 CMS - 69055
LACOR 69056,25 SACOS DE VÁCUO 28X40 CMS - 69056
LACOR 69061,LAMPARA 550W CALOR INFRAVERMELHO - 69061
LACOR 69062,TORRADEIRA AUTOMATICA 2 FATIAS DE PAO - 69062
LACOR 69064,TORRADEIRA AUTOMATICA 4 FATIAS DE PAO - 69064
LACOR 69066,TORRADEIRA ELÉCTR.TAPETE ROLANTE 2.24KW - 69066
LACOR 69068,PICADORA ELÉCTRICA DE CARNE 800W - 69068
LACOR 69072,ARMÁRIO REFRIGERADOR ELÉCTRICO 28 GARRAF - 69072
LACOR 69079,ROBÔ MULTIFUNCIONAIS 800W - 69079
LACOR 69084,"BATEDEIRA ELÉCTRICA COM BACIA ""PROFISSIO - 69084"
LACOR 69110,CHAFING DISH GN 1/1 C/TAMPA INOX - 69110
LACOR 69111,"BATEDOR DE BATIDOS 400W 0,6 L - 69111"
LACOR 69116,MAQUINA DE VACUO SINO - 69116
LACOR 69118,CORTADORA ELÉCTRICA DE FIAMBRE HOME - 69118
LACOR 69120,ESPREMEDOR SE SUMOS ELÉCTRICO COM BRACO - 69120
LACOR 69122,PANQUECA ELÉCTRICA D.30 CMS 1000W - 69122
LACOR 69125,CORTADORA ELÉCTRICA DE FIAMBRE 150W 250M - 69125
LACOR 69130,CORTADORA ELÉCTRICA DE FIAMBRE 250W - 69130
LACOR 69131,PLACOR A DE INDUÇÃO COM REGULADOR D24-1000W - 69131
LACOR 69132,PLACOR A DE INDUÃO PROFISSIONAL 3500W - 69132
LACOR 69132F,VENTILADORES (4) P/PLACOR A INDUÇAO
LACOR 69135,FRITADEIRA ELÉCTRICA 3.5LTS. 2000W - 69135
LACOR 69139,PLACOR A DE INDUÇÃO COM REGULADOR D.18-700W - 69139
LACOR 69141,AFILADOR DE FACAS ELÉCTRICO MULTI - 69141
LACOR 69147,SANDUICHERA ELÉCTR.FATIA QUADRADAS 750 W - 69147
LACOR 69149,MAQUINA ELÉC.FAZER GOFFRES REVERSIV.875W - 69149
LACOR 69162,TORRADEIRA LUXE - 2 TORRADAS - REFª 69162
LACOR 69166,GRELHAR SIMPLE ONDULADA 2.2KW - 69166
LACOR 69167,GRELHAR DOBLE ONDULADA 4.4KW - 69167
LACOR 69169,FRITADEIRA ELECTRICA 6 LTS 2500W - 69169
LACOR 69172,TORRADEIRA ELÉCTRICA HORIZONTAL 2200 W - 69172
LACOR 69173,TORRADEIRA ELÉCTRICA HORIZONTAL 3150 W - 69173
LACOR 69179,GRELHADOR PROFESSIONAL 6 KW 61x40 CM - 69179
LACOR 69195,BATEDOR ELÉCTRICO PROFISSIONAL 1200W - 69195
LACOR 69196,PLACOR A CREPEIRA ELÉCTRICA D.40 CM 3 KW - 69196
LACOR 69202,CESTA PARA PRATOS 50x50x10 CM - 69202
LACOR 69205,TAMPA CESTA UNIVERSAL 50x50x2.5 CM - 69205
LACOR 69206,"SUPLEMENTO EM ARAME P/PRATOS- 45X45X9,5cm - REFª 69206"
LACOR 69217,SUPLEMENTO ALTURA 16 COMPRATIMENTOS - 69217
LACOR 69221,DEFUMADOR DE ALIMENTOS MAGIC - 69221
LACOR 69222,PANQUECA ELÉCTRICA D.30 CMS 1000W - 69222
LACOR 69226,"SUPLEM.ALTURA 25 COMPART.50x50x4,5 CM - 69226"
LACOR 69227,PLACOR A GRELHADOR ELECTRICA 1800W - 69227
LACOR 69233,PANELA DE ARROZ 700W - 69233
LACOR 69236,CESTA BASE 36 COMPARTIMENTOS 50x50x10 - 69236
LACOR 69237,SUPLEMENTO ALTURA 36 COMPARTIMENTOS - 69237
LACOR 69247,SANDUICHERA ELÉCTR.FATIA TRIANGULAR 750W - 69247
LACOR 69248,SUPLEM. ALTURA 49 COMPART. - 69248
LACOR 69249,CESTA BASE 49 COMPART. 50x50x10 - 69249
LACOR 69250,CESTA BASE UNIVERSAL 50x50x10 CMS - 69250
LACOR 69251,"SUPLEMENTO ALTURA ABERTO 50x50x4,5 CM - 69251"
LACOR 69256,CAFETEIRA EXPRESSO 850W - 69256
LACOR 69260,TORRADEIRA RANHUA LARGA DUPLO 1500 W - 69260
LACOR 69266,LÂMPARA CALOR INFRA. CABO EXTENSI 275W - 69266
LACOR 69267,POTE ELECTRICO PARA SOPA 11 LTS 800W - 69267
LACOR 69274,PACK 200 FILTROS 250 MM - 69274
LACOR 69275,PACK 200 FILTROS 200 MM - 69275
LACOR 69277,CHALEIRA ELÉCTRICA 1.7 LTS. 2200W - 69277
LACOR 69278,"CAFETEIRA TIPO FILTRO 1,25 L - 69278"
LACOR 69279,"PROGRAMAVEL CAFÉ TIPO FILTRO 1,8 L - 69279"
LACOR 69288,LIQUIDIFICADORA DE SUMOS 850 W 2 L - 69288
LACOR 69289,CHALEIRA ELECTRICA CERAMICA 1 L - 69289
LACOR 69292,CHALEIRA ELECTRICA DE VIDRO 1.7 L 2200W - 69292
LACOR 69296,TORRADEIRA BUFFET 6 FATIAS DE PÃO 2500W - 69296
LACOR 69298,CHALEIRA ELECTRICA INSTANTE 2L - 69298
LACOR 69299,MÁQUINA DE PIPOCA - 69299
LACOR 69313,PICADORA DE GELO - 69313
LACOR 69315,MÁQUINA PARA FAZER GELADO 150W - 69315
LACOR 69316,MAQUINA PANIFICADORA - REFª 69316
LACOR 69317,BANHO-MARIA CHOCOLATE 50W - 69317
LACOR 69318,FONTE CHOCOLATE 35 W - 69318
LACOR 69319,FONTE CHOCOLATE GRANDE 80 W - 69319
LACOR 69320,MAQUINA DE FAZER GELO PRO - 69320
LACOR 69321,DEFUMADOR DE ALIMENTOS INSTANT - 69321
LACOR 69334,MÁQUINA DE FAZER PAO - 69334
LACOR 69339,PACOTE DE CANUDOS PAPEL - 69339
LACOR 69349,MAQUINA ELÉC.FAZER GOFFRES 1000 W - 69349
LACOR 69350,MÁQUINA DE VÁCUO MAXI 120 W - 69350
LACOR 69360,TORRADEIRA RANHUA LARGA 1000 W - 69360
LACOR 69368,PICADORA ELÉCTRICA DE CARNE PRO 550 W - 69368
LACOR 69369,PICADORA ELÉCTRICA DE CARNE CHOP - 69369
LACOR 69379,PLACOR A GRELHA PROFISSIONAL 3KW 40X40CM - 69379
LACOR 69384,BATIDEIRA ELECTRICA DA MAO 300W - 69384
LACOR 69385,MOEDOR DE CAFE 200W - 69385
LACOR 69386,MISTURADOR PESSOAL MIX & GO MASON - 69386
LACOR 69387,CONJUNTO 2 FRASCOS MASON - 69387
LACOR 69388,BATEDEIRA ELÉCTRICA COM TIGELA 600W 4 L - 69388
LACOR 69389,MISTURADOR PESSOAL PRO - 69389
LACOR 69397,CHALEIRA ELECTRICA - 69397
LACOR 69422,AQUECEDOR ELÉT. TELHADO 2100W - 69422
LACOR 69445,AQUECEDER DE BUFFET 3 X GN 1/3 300W - 69445
LACOR 69450,AIR BRUSH CON COMPRESOR - 69450
LACOR 69462,2 BOBINAS MANGA PLASTICO 22X5-28X5 MTS - 69462
LACOR 69475,"AIR POT ELECTRICO 5,2 LT - REFª 69475"
LACOR 69483,BATEDEIRA MISTURADORA ELÉCT. 3.5L - 400W - 69483
LACOR 69485,MOEDOR DE CAFE ELECTRICO KALDI - 69485
LACOR 69488,LIQUIDIFICADOR DE SUMOS PROFIS. 700 W - 69488
LACOR 69520,ESPREMEDOR DE LARANJA AUTOMATICO - 69520
LACOR 69521,DEFUMADOR DE ALIMENTOS - 69521
LACOR 69540,MAQUINA DE VACUO 40CM PROFESIONAL - 69540
LACOR 69541,APOIO ROLO SACOS VAZIO 40CM - 69541
LACOR 69550,MADEIRA ESFUMACADO OLIVEIRA 100 g - 69550
LACOR 69554,TAMPA DE FUMO COCKTAIL - 69554
LACOR 69561I,ROBÒ MULTIFUNCIONAIS COOKINGME INGLÊ.REC - 69561I
LACOR 69564,LÂMPADA DE AQUEC. EXT. CÓNICA LIXADA - 69564
LACOR 69574,DOBRANDO GRILL PRO - 69574
LACOR 69583,BATEDEIRA-AMASSADORA MULTIFUNÇÃO DELICY - 69583
LACOR 69584,"ACCESORIO JARRO BATEDEIRA 1,5L PAR 69583 - 69584"
LACOR 69590,CHALEIRA ELÉCTRICA GREY 1.3 Lts 2.200W - 69590
LACOR 69591,"CHALEIRA ELÉCTRICA WHITE 1,3 LT-2200W - 69591"
LACOR 69683,BATEDEIRA-AMASSADORA MULTIFUNÇÃO COMPLET - 69683
LACOR 69684,"ACCESORIO JARRO BATEDEIRA 1,5L PAR 69683 - 69684"
LACOR 69685,ACCESORIO PICADOR - SALCHICHAS - 69685
LACOR 69785,BATEDEIRA BRISK SF 50CM - 500W - 69785
LACOR 69795,BATEDEIRA BRISK SV 50CM - 500W - 69795
LACOR 69801,APOIO INDIVIDUAL PARA BRISK - 69801
LACOR 69803,APOIO TRIPLO PARA BRISK - 69803
LACOR 69815,ACCESÓRIO AMASSAD.BATEDEIRA BRISK 185 MM - 69815
LACOR 69824,ACCESÓRIO AMASSAD.BATEDEIRA BRISK 250 MM - 69824
LACOR 69825,PÉ TRITURADOR BATEDEIRA BRISK 250 MM - 69825
LACOR 69830,PÉ TRITURADOR BATEDEIRA BRISK 300 MM - 69830
LACOR 69840,PÉ TRITURADOR BATEDEIRA BRISK 400 MM - 69840
LACOR 71711,FONDUE FERRO FUNDIDO ROSSO - 71711
LACOR 72811,SERVIDOR DE ESPARGUETE PROFESIONAL - 72811
LACOR 79830,WOK 30CM BELLY - 79830
LACOR 90120,PANELA COM TAMPA 20CM GOURMET - 90120
LACOR 90124,PANELA COM TAMPA 24CM GOURMET - 90124
LACOR 90132,PANELA COM TAMPA 32CM GOURMET - 90132
LACOR 90318,COADOR ESFÉRICO 18CM GOURMET - 90318
LACOR 90622,TARTEIRA COM TAMPA 22CM GOURMET - 90622
LACOR 90632,TARTEIRA COM TAMPA 32CM GOURMET - 90632
LACOR 98803,CONCHA NYLON - 98803
LACOR 98804,ESCUMADEIRA NYLON - 98804
LACOR 98911,"SERVIDOR DE ESPARGUETE NYLON 28,5x6 CM - 98911"
LACOR R69061A,LAMPADA INFRAVERMELHO 275 W - R69061A
LACOR R69099B,ARO COMPL. CHAFING DISH LUXE GN 1/1-2/3 - R69099B
LACOR R69382F,LUVA DE NEOPRENE PARA 69382 - R69382F
LACOR R69561Q,RECETAS COOKINGME INGLÊS - R69561Q
