Referencia,Produto
IBILI 791135,TENAZ INOX NYLON 35 CM
IBILI 796200,AFILADOR MINI
IBILI 796400,MOHINO JULIANA
IBILI 799400,FORMA BOMBOM CONICO RIZADO
IBILI 810400,TORRADOR DE PAO ESTANHADO 20*20 CMS.
IBILI 815120,FORMA REDONDA EXTRA ALTA 20X10 CM
IBILI 820120,FORMA DESMONTAVEL MOKA 20 CM
IBILI 820126,FORMA DESMONTAVEL MOKA 26 CMS
IBILI 825020,FORMA PUDIM COM TAMPA 20 CM
IBILI 826716,FORMA PANETTONE 16X10 CM
IBILI 840026,FORMA DESMONTAVEL COM BASE EXTRA 26 GOLD
IBILI 860021,MOLDE 6 CAVIDADES PARA DOUGNUT
IBILI 876000,MOLDE 6 CAVIDADES PARA DOUGNUT
